,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,paracatu,BR,12,1520468772,90,-17.22,-46.87,76.68,2.89
142,banyo,CM,8,1520468772,49,6.75,11.81,74.02,6.91
143,valparaiso,US,90,1520466960,74,41.47,-87.06,32,5.82
144,male,UA,92,1520468773,97,50.74,33.7,30.37,6.29
145,vryburg,ZA,76,1520468773,95,-26.96,24.73,61.78,7.58
146,kazerun,IR,0,1520468774,64,29.62,51.65,49.9,2.48
147,diego de almagro,CL,0,1520468774,64,-26.39,-70.05,63.85,2.77
148,awjilah,LY,8,1520468775,41,29.14,21.3,60.97,3
149,sobinka,RU,68,1520468775,84,55.99,40.02,14.22,9.64
150,lomza,PL,80,1520468776,93,53.18,22.06,32.67,7.07
151,juba,EE,80,1520466600,53,57.82,26.93,26.6,10.29
152,kurchum,KZ,32,1520468777,68,48.57,83.65,7.06,2.82
153,galle,US,1,1520466960,22,29.74,-97.91,64.4,6.93
154,jeremoabo,BR,48,1520468778,98,-10.08,-38.34,71.14,0.81
155,tres arroyos,AR,0,1520468687,31,-38.38,-60.28,72.22,9.04
156,marhaura,IN,20,1520463600,82,25.97,84.87,62.6,2.82
157,lindi,TZ,20,1520468779,96,-10,39.71,70.96,2.26
158,springfield,US,1,1520466720,41,37.22,-93.29,42.8,10.29
159,inndyr,NO,0,1520466600,57,67.03,14.03,19.4,27.51
160,oistins,BB,40,1520467200,83,13.07,-59.53,78.8,20.8
161,bela vista,BR,36,1520468783,76,-22.11,-56.53,78.7,5.01
162,eydhafushi,MV,68,1520468783,100,5.1,73.07,82.03,4.34
163,karuzi,BI,92,1520468784,100,-3.1,30.16,58.81,2.82
164,koutsouras,GR,20,1520468784,97,35.03,25.95,61.38,8.03
165,lakeside,US,5,1520466960,16,32.86,-116.92,73.4,9.17
166,stokmarknes,NO,12,1520468786,100,68.56,14.91,19.21,9.86
167,sao miguel,BR,20,1520468786,60,4.52,-61.01,71.5,4.61
168,tabou,CI,0,1520468787,96,4.42,-7.36,82.48,5.35
169,muravlenko,RU,48,1520468787,78,63.79,74.5,6.61,13.85
170,marsassoum,SN,0,1520463600,78,12.83,-15.98,73.4,4.7
171,turochak,RU,80,1520468788,88,52.26,87.12,18.9,0.81
172,tourlaville,FR,75,1520467200,87,49.64,-1.57,44.6,16.11
173,balaka,MW,0,1520468789,100,-14.99,34.96,64.3,3.38
174,aquiraz,BR,75,1520463600,78,-3.9,-38.39,82.4,5.82
175,kongolo,CD,24,1520468790,81,-5.39,27,72.72,1.21
176,ouricuri,BR,68,1520468734,99,-7.88,-40.08,68.4,2.33
177,tamandare,BR,44,1520468791,91,-8.28,-70.75,76.27,2.48
